Name ,Voltage ,Start point Station ,Voltage startpoint,End point substation ,Voltage Endpoint,Latitude start point,Longitude start point,Latitude end point ,longitude end point
Getrud,110,Getrud,110,Vorwerk,110,53.887156,10.705112,53.896577,10.692798
Schlaltanlage Lubeck Sud,110/10,Schlaltanlage Lubeck Sud,110/10,Marli,110,53.854509,10.680991,53.865392,10.718362
Lübeck  ,110,Lübeck  ,110,Helping Bus 42,110,53.919076,10.642002,53.752635,10.541081
Helping Bus 42,110,Helping Bus 42,110,Kastorf,110,53.752635,10.541081,53.754867,10.55821
Kastorf,110,Kastorf,110,Berkenthin,110/30/11,53.754867,10.55821,53.730778,10.635192
Helping Bus 42,110,Helping Bus 42,110,Helping Bus 43,110,53.752635,10.541081,53.676248,10.52251
Helping Bus 43,110,Helping Bus 43,110,Sandesneben,110/11,53.676248,10.52251,53.685471,10.483374
Helping Bus 43,110,Helping Bus 43,110,Helping Bus 44,110,53.676248,10.52251,53.589486,10.51707
Helping Bus 44,110,Helping Bus 44,110,Molln West ,110/11,53.589486,10.51707,53.622771,10.666448
Helping Bus 44,110,Helping Bus 44,110,Helping Bus 45,110,53.514681,10.507042,53.514689,10.50705
Helping Bus 45,110,Helping Bus 45,110,Schwarzenbek,110,53.514689,10.50705,53.510194,10.488548
Helping Bus 45,110,Helping Bus 45,110,Helping Bus 46,110,53.514689,10.50705,53.425199,10.49999
Helping Bus 46,110,Helping Bus 46,110,Lauenburg,110,53.425199,10.49999,53.386355,10.538217
Helping Bus 46,110,Helping Bus 46,110,Schaltwerk krummel,380/110,53.425199,10.49999,53.413017,10.413505
Schaltwerk Krummel,110,Schaltwerk Krummel,110,Grüner jäger,110,53.413017,10.413505,53.424771,10.417681
Grüner jäger,110,Grüner jäger,110,Helping Bus 47,110,53.424771,10.417681,53.463058,10.37034
Helping Bus 47,110,Helping Bus 47,110,Substation Adj 6,110,53.463058,10.37034,53.455546,10.362867
Helping Bus 47,110,Helping Bus 47,110,Substation Adj 7,110,53.463058,10.37034,53.511173,10.281631
Substation Adj 7,110,Substation Adj 7,110,Substation Adj 8,110,53.511173,10.281631,53.525926,10.267872
Substation Adj 8,110,Substation Adj 8,110,Substation Adj 9,110,53.525926,10.267872,53.528125,10.233408
Substation Adj 9,110,Substation Adj 9,110,Helping Bus 47,110,53.528125,10.233408,53.576724,10.260396
Helping Bus 47,110,Helping Bus 47,110,Substation Adj 10,110,53.576724,10.260396,53.56729,10.190967
Helping Bus 47,110,Helping Bus 47,110, Ahrensburg Nord,110,53.576724,10.260396,53.683883,10.258122
 Ahrensburg Nord,110, Ahrensburg Nord,110,Helping Bus 48,110,53.683883,10.258122,53.742718,10.29788
Helping Bus 48,110,Helping Bus 48,110, Bargteheide,110/11,53.742718,10.29788,53.740443,10.267448
Bad Bramstedt,110/11,Bad Bramstedt,110,Helping Bus  50,110,53.912295,9.899915,53.850678,9.978424
Helping Bus  50,110,Helping Bus  50,110,Kaltenkirchen Nord,110/11,53.850678,9.978424,53.839725,9.964052
Helping Bus  50,110,Helping Bus  50,110,Helping Bus  51,110,53.850678,9.978424,53.825493,10.005589
Helping Bus  51,110,Helping Bus  51,110,Kaltenkirchen-Süd,110/11,53.825493,10.005589,53.815922,9.976927
Helping Bus  51,110,Helping Bus  51,110,Helping Bus  54,110,53.825493,10.005589,53.737007,9.970954
Helping Bus  54,110,Helping Bus  54,110,Quickborn ost,110,53.737007,9.970954,53.744182,9.937354
Helping Bus  54,110,Helping Bus  54,110,Helping Bus  55,110,53.737007,9.970954,53.687592,9.932719
Helping Bus  55,110,Helping Bus  55,110,Norderstedt,110,53.687592,9.932719,53.687476,9.97208
Hamburg Nord ,110,Hamburg Nord ,110,Helping Bus 56,110,53.766994,9.988281,53.780753,10.02536
Helping Bus 56,110,Helping Bus 56,110,Harksheide,110,53.780753,10.02536,53.71126,10.018802
Helping Bus 31,110,Helping Bus 31,110,Helping Bus 33,110,54.3219,9.952457,54.319989,9.984365
Helping Bus 31,110,Helping Bus 31,110,Helping Bus 32,220,54.3219,9.952457,54.313413,9.996829
,,,,Elmshorn,,,,,
