Name,Voltage,Start point Station,Volstat,End point substation,Volend,Latstat,Longstat,Latend,Longend
Audorf,220,Audorf,220,Helping Bus 31,220,54.291814,9.726194,54.3219,9.952457
Helping Bus 31,220,Helping Bus 31,220,Helping Bus 32,220,54.3219,9.952457,54.313413,9.996829
Helping Bus 32,220,Helping Bus 32,220,Kiel West,220/110,54.313413,9.996829,54.348984,10.060338
Helping Bus 32,220,Helping Bus 32,220,Kiel Sud,220/110,54.348984,10.060338,54.275918,10.15597
Helping Bus 31,220,Helping Bus 31,220,Helping Bus 33,110,54.3219,9.952457,54.319989,9.984365
Brunnsbuttel,220,Brunnsbuttel,220,itzehoe west,220,53.896182,9.201704,53.967577,9.449068
Hamburg Nord 1,220,Hamburg Nord 1,220,itzehoe west,220,53.766994,9.988281,53.967577,9.449068
Hamburg Nord 1,220,Hamburg Nord 1,220,Hamburg Nord 2,220,53.766994,9.988281,53.74144,9.98368
